index,subject,image
0,https://resource.swissartresearch.net/artwork/SFF_B_1609,https://bso-iiif.swissartresearch.net/iiif/2/SFF_B_1609
1,https://resource.swissartresearch.net/artwork/SFF_B_1610,https://bso-iiif.swissartresearch.net/iiif/2/SFF_B_1610
2,https://resource.swissartresearch.net/artwork/SFF_B_1611,https://bso-iiif.swissartresearch.net/iiif/2/SFF_B_1611
3,https://resource.swissartresearch.net/artwork/SFF_B_1612,https://bso-iiif.swissartresearch.net/iiif/2/SFF_B_1612
4,https://resource.swissartresearch.net/artwork/SFF_B_1613,https://bso-iiif.swissartresearch.net/iiif/2/SFF_B_1613
5,https://resource.swissartresearch.net/artwork/SFF_B_1614,https://bso-iiif.swissartresearch.net/iiif/2/SFF_B_1614
6,https://resource.swissartresearch.net/artwork/SFF_B_1615,https://bso-iiif.swissartresearch.net/iiif/2/SFF_B_1615
7,https://resource.swissartresearch.net/artwork/SFF_B_1616,https://bso-iiif.swissartresearch.net/iiif/2/SFF_B_1616
8,https://resource.swissartresearch.net/artwork/SFF_B_1617,https://bso-iiif.swissartresearch.net/iiif/2/SFF_B_1617
9,https://resource.swissartresearch.net/artwork/SFF_B_1618,https://bso-iiif.swissartresearch.net/iiif/2/SFF_B_1618
10,https://resource.swissartresearch.net/artwork/SFF_B_1619,https://bso-iiif.swissartresearch.net/iiif/2/SFF_B_1619
11,https://resource.swissartresearch.net/artwork/SFF_B_1620,https://bso-iiif.swissartresearch.net/iiif/2/SFF_B_1620
12,https://resource.swissartresearch.net/artwork/SFF_B_1621,https://bso-iiif.swissartresearch.net/iiif/2/SFF_B_1621
13,https://resource.swissartresearch.net/artwork/SFF_B_1622,https://bso-iiif.swissartresearch.net/iiif/2/SFF_B_1622
14,https://resource.swissartresearch.net/artwork/SFF_B_1623,https://bso-iiif.swissartresearch.net/iiif/2/SFF_B_1623
15,https://resource.swissartresearch.net/artwork/SFF_B_1624,https://bso-iiif.swissartresearch.net/iiif/2/SFF_B_1624
16,https://resource.swissartresearch.net/artwork/SFF_B_1625,https://bso-iiif.swissartresearch.net/iiif/2/SFF_B_1625
17,https://resource.swissartresearch.net/artwork/SFF_B_1626,https://bso-iiif.swissartresearch.net/iiif/2/SFF_B_1626_2
18,https://resource.swissartresearch.net/artwork/SFF_B_1627,https://bso-iiif.swissartresearch.net/iiif/2/SFF_B_1627_2
19,https://resource.swissartresearch.net/artwork/SFF_B_1628,https://bso-iiif.swissartresearch.net/iiif/2/SFF_B_1628
20,https://resource.swissartresearch.net/artwork/SFF_B_1629,https://bso-iiif.swissartresearch.net/iiif/2/SFF_B_1629
21,https://resource.swissartresearch.net/artwork/SFF_B_1630,https://bso-iiif.swissartresearch.net/iiif/2/SFF_B_1630
22,https://resource.swissartresearch.net/artwork/SFF_B_1631,https://bso-iiif.swissartresearch.net/iiif/2/SFF_B_1631
23,https://resource.swissartresearch.net/artwork/SFF_B_1632,https://bso-iiif.swissartresearch.net/iiif/2/SFF_B_1632
24,https://resource.swissartresearch.net/artwork/SFF_B_1633,https://bso-iiif.swissartresearch.net/iiif/2/SFF_B_1633
25,https://resource.swissartresearch.net/artwork/SFF_B_1634,https://bso-iiif.swissartresearch.net/iiif/2/SFF_B_1634
26,https://resource.swissartresearch.net/artwork/SFF_B_1635,https://bso-iiif.swissartresearch.net/iiif/2/SFF_B_1635
27,https://resource.swissartresearch.net/artwork/SFF_B_1636,https://bso-iiif.swissartresearch.net/iiif/2/SFF_B_1636
28,https://resource.swissartresearch.net/artwork/SFF_B_1637,https://bso-iiif.swissartresearch.net/iiif/2/SFF_B_1637
29,https://resource.swissartresearch.net/artwork/SFF_B_1638,https://bso-iiif.swissartresearch.net/iiif/2/SFF_B_1638_2
30,https://resource.swissartresearch.net/artwork/SFF_B_1639,https://bso-iiif.swissartresearch.net/iiif/2/SFF_B_1639
31,https://resource.swissartresearch.net/artwork/SFF_D_1000,https://bso-iiif.swissartresearch.net/iiif/2/SFF_D_1000
32,https://resource.swissartresearch.net/artwork/SFF_D_1001,https://bso-iiif.swissartresearch.net/iiif/2/SFF_D_1001
33,https://resource.swissartresearch.net/artwork/SFF_D_1002,https://bso-iiif.swissartresearch.net/iiif/2/SFF_D_1002
34,https://resource.swissartresearch.net/artwork/SFF_D_1003,https://bso-iiif.swissartresearch.net/iiif/2/SFF_D_1003
35,https://resource.swissartresearch.net/artwork/SFF_D_1004,https://bso-iiif.swissartresearch.net/iiif/2/SFF_D_1004
36,https://resource.swissartresearch.net/artwork/SFF_D_1005,https://bso-iiif.swissartresearch.net/iiif/2/SFF_D_1005
37,https://resource.swissartresearch.net/artwork/SFF_D_1006,https://bso-iiif.swissartresearch.net/iiif/2/SFF_D_1006
38,https://resource.swissartresearch.net/artwork/SFF_D_1007,https://bso-iiif.swissartresearch.net/iiif/2/SFF_D_1007
39,https://resource.swissartresearch.net/artwork/SFF_D_1008,https://bso-iiif.swissartresearch.net/iiif/2/SFF_D_1008
40,https://resource.swissartresearch.net/artwork/SFF_D_1009,https://bso-iiif.swissartresearch.net/iiif/2/SFF_D_1009
41,https://resource.swissartresearch.net/artwork/SFF_D_1010,https://bso-iiif.swissartresearch.net/iiif/2/SFF_D_1010
42,https://resource.swissartresearch.net/artwork/SFF_D_1011,https://bso-iiif.swissartresearch.net/iiif/2/SFF_D_1011
43,https://resource.swissartresearch.net/artwork/SFF_D_1012,https://bso-iiif.swissartresearch.net/iiif/2/SFF_D_1012
44,https://resource.swissartresearch.net/artwork/SFF_D_1013,https://bso-iiif.swissartresearch.net/iiif/2/SFF_D_1013
45,https://resource.swissartresearch.net/artwork/SFF_D_1014,https://bso-iiif.swissartresearch.net/iiif/2/SFF_D_1014
46,https://resource.swissartresearch.net/artwork/SFF_D_1015,https://bso-iiif.swissartresearch.net/iiif/2/SFF_D_1015
47,https://resource.swissartresearch.net/artwork/SFF_D_1016,https://bso-iiif.swissartresearch.net/iiif/2/SFF_D_1016
48,https://resource.swissartresearch.net/artwork/SFF_D_1017,https://bso-iiif.swissartresearch.net/iiif/2/SFF_D_1017
